anger disgust fear joy sad surprise 
0.00304724 0.00211156 0.141776 0.565052 0.224115 0.063898 
0.0120368 0.00734538 0.0460269 0.705749 0.099619 0.129223 
0.0462725 0.00799957 0.336899 0.0182964 0.390393 0.20014 
0.067542 0.0365487 0.183438 0.347993 0.0995506 0.264927 
0.123322 0.0822913 0.210898 0.182979 0.319029 0.081481 
0.0324883 0.0345746 0.0613773 0.544849 0.0278978 0.298813 
0.0231124 0.023504 0.0433774 0.443292 0.145131 0.321583 
0.0728291 0.0298535 0.10694 0.404294 0.157164 0.228919 
0.1139 0.0480149 0.14536 0.284333 0.220983 0.18741 
0.0223743 0.0136537 0.0409366 0.39116 0.135474 0.396401 
0.000269502 0.000259072 0.00119045 0.679323 0.000938367 0.31802 
0.0925745 0.0874744 0.06454 0.357135 0.163187 0.235089 
0.0517707 0.0394328 0.339848 0.0185148 0.437129 0.113305 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.0655794 0.0278961 0.146391 0.407847 0.0981742 0.254112 
0.0480719 0.101132 0.329468 0.0707864 0.118357 0.332184 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.180736 0.0458158 0.32226 0.138051 0.164015 0.149122 
0.0654373 0.0436976 0.0790816 0.480929 0.0765855 0.254269 
0.0973057 0.0645216 0.178425 0.292322 0.174734 0.192691 
0.231681 0.114607 0.211601 0.0716119 0.254418 0.116081 
0.0739585 0.0491473 0.0982527 0.347347 0.171146 0.260148 
0.272673 0.217178 0.217178 8.50604e-019 0.217178 0.0757924 
0.160336 0.0136963 0.339014 0.105559 0.19627 0.185124 
2.11306e-009 1.34942e-009 4.03268e-009 1 5.15915e-009 5.79421e-009 
0.0588189 0.0514055 0.125753 0.410014 0.0796159 0.274392 
0.0512927 0.0221448 0.167947 0.293881 0.322683 0.142052 
0.00788294 0.0020533 0.0380923 0.651928 0.133171 0.166872 
0.0465047 1.50546e-014 0.39534 6.9079e-014 0.50005 0.0581058 
0.155823 0.116839 0.373688 0.00136562 0.350362 0.00192131 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.219884 0.0734214 0.123595 0.322818 0.138436 0.121846 
9.92697e-015 7.55102e-015 2.24319e-014 1 6.05968e-014 1.52136e-013 
0.0788003 0.050884 0.109235 0.318807 0.184408 0.257866 
0.14474 0.11203 0.315441 0.137275 0.193611 0.0969024 
0.0853241 0.0657638 0.0772207 0.431993 0.164152 0.175547 
0.253251 0.112607 0.260186 0.048692 0.151106 0.174157 
0.168036 0.167958 0.0467347 0.131255 0.326699 0.159317 
1.3627e-016 0.147385 9.54558e-017 0.0632255 1.50032e-016 0.78939 
0.000190598 0.000121866 9.29538e-005 0.996899 0.000285409 0.00241024 
7.23962e-011 0.150411 1.78601e-010 0.225619 1.63933e-010 0.62397 
0.220569 0.113485 0.280644 0.0417421 0.267182 0.0763773 
0.0982177 0.0477951 0.158874 0.276954 0.14773 0.270429 
0.255875 0.0890292 0.355787 0.017044 0.2155 0.0667648 
0.0246992 0.0194993 0.213927 0.358009 0.235554 0.148312 
1.42201e-005 9.08109e-006 0.257798 0.000897644 0.526262 0.215019 
0.019932 0.0121633 0.0364682 0.694697 0.045715 0.191024 
0.00262207 0.00709522 0.0276135 0.678599 0.0286077 0.255463 
0.255572 0.0499279 0.160508 0.121385 0.331052 0.081555 
0.0264852 0.0102312 0.054505 0.598812 0.0507915 0.259175 
0.0374349 0.0105517 0.172723 0.13907 0.593973 0.0462474 
0.0144259 0.00880332 0.0263941 0.717027 0.0330866 0.200263 
0.0750958 0.142213 0.253579 0.136632 0.238806 0.153674 
0.019932 0.0121633 0.0364682 0.694697 0.045715 0.191024 
0.0574804 0.0299332 0.115353 0.405866 0.12222 0.269147 
0.0398274 0.0261943 0.0807237 0.53265 0.0205086 0.300096 
3.07561e-005 2.83687e-005 0.000945952 0.000741198 0.913414 0.0848397 
0.076099 0.0494259 0.0965725 0.350713 0.173637 0.253552 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.0592809 0.000296163 0.220553 0.0483119 0.569759 0.101799 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.2274 0.107166 0.21172 0.0963344 0.245177 0.112203 
0.194348 0.00778808 0.50042 0.000750836 0.0683039 0.22839 
0.0845036 0.0217832 0.35025 0.182243 0.18604 0.17518 
0.115967 0.0882409 0.0867567 0.184841 0.286442 0.237753 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.00482842 0.00141701 0.00424849 0.747523 0.00532573 0.236657 
0.05256 0.0174951 0.499883 0.000123117 0.307041 0.122898 
0.0698678 0.0350728 0.193248 0.0443904 0.532506 0.124916 
1.95558e-008 1.29185e-008 1.66853e-008 0.8333 1.00629e-008 0.1667 
0.238365 0.0900225 0.252607 0.081882 0.269894 0.0672299 
0.000548176 0.000415657 0.633245 0.00420483 0.162442 0.199145 
0.196726 0.0978805 0.167719 0.0731233 0.297707 0.166844 
0.0913141 0.0957113 0.0795606 0.237165 0.271658 0.224591 
0.0868247 0.107389 0.0360139 0.403207 0.100661 0.265905 
0.264574 0.116588 0.121088 1.2456e-011 0.39906 0.0986901 
0.0129595 0.023702 0.0301995 0.477074 0.0314288 0.424636 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.000350608 0.000202108 0.424948 0.211979 0.301594 0.0609267 
0.0321876 0.0380129 0.16758 0.3181 0.0432049 0.400915 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
0.052197 0.00626536 0.0359196 0.5559 0.110034 0.239684 
0.0865731 0.0529492 0.157176 0.281343 0.191442 0.230517 
2.03987e-005 5.03529e-005 9.04216e-005 4.17164e-005 0.789965 0.209833 
0.0209779 0.0217682 0.0410924 0.612731 0.0224713 0.280959 
0.039941 0.0216209 0.113007 0.477381 0.0534451 0.294605 
1.03315e-009 8.46488e-008 5.13885e-006 0.548395 1.77251e-006 0.451598 
0.0441152 0.0194039 0.0987077 0.483696 0.0635798 0.290498 
0.131094 0.0747079 0.193439 0.074998 0.353271 0.17249 
0.0335256 0.0495578 0.0569603 0.603598 0.0440315 0.212326 
0.0278003 0.2639 0.3194 0.2222 0.0417002 0.125 
0.163745 0.0928024 0.303798 0.0034238 0.387747 0.0484836 
0.0294613 0.00518955 0.0776741 0.585248 0.121382 0.181045 
0.0345895 0.0147411 0.403865 0.0295087 0.408543 0.108752 
0.106028 0.118521 0.0392393 0.0218872 0.335936 0.378389 
1.491e-007 5.99774e-008 3.97498e-007 0.826142 2.83266e-007 0.173857 
0.065425 0.0577152 0.246498 0.0273191 0.455274 0.147769 
6.02206e-005 3.09216e-005 0.205484 0.519892 0.123536 0.150997 
0.0163653 0.0268946 0.0628806 0.296978 0.178718 0.418163 
0.0190174 0.022986 0.14434 0.370834 0.0681704 0.374652 
0.215732 0.0637901 0.266868 0.157512 0.194486 0.101612 
0.0589621 0.0148257 0.188186 0.46727 0.0739532 0.196803 
0.240802 0.109085 0.225444 0.0794239 0.244376 0.100869 
0.0368891 0.0240403 0.168337 0.47025 0.112545 0.18794 
0.0796986 0.0456647 0.0739437 0.627958 0.0803087 0.0924258 
0.237617 0.166283 0.298923 0.0553243 0.194971 0.0468814 
0.122517 0.106749 0.221432 0.0957339 0.124572 0.328996 
0.0687684 0.0781117 0.0986895 0.441029 0.0618304 0.251571 
0.0538883 0.00406482 0.123174 0.127562 0.503344 0.187967 
0.0662878 0.080909 0.0378737 0.615722 0.024483 0.174724 
0.201236 0.0448276 0.0719451 0.201403 0.0856573 0.394931 
0.11479 1.10031e-006 0.196718 5.18267e-005 0.475348 0.213091 
0.127766 0.0274313 0.222909 0.233526 0.267508 0.120859 
0.0759827 0.0623522 0.0970523 0.331126 0.179006 0.254481 
0.0661027 0.053642 0.0354019 0.309741 0.332464 0.202649 
0.000163992 6.2981e-005 0.000607354 0.732211 0.266531 0.000423831 
0.121366 0.0574418 0.518318 0.0586396 0.124862 0.119372 
0.0564597 0.0295748 0.0855181 0.583525 0.097057 0.147865 
0.0994475 0.0624453 0.065539 0.0851917 0.53505 0.152326 
0.0475771 0.00661513 0.101809 0.497378 0.1959 0.150721 
0.0599514 0.00785365 0.154112 0.247069 0.149663 0.381351 
0.256478 0.0500417 0.160461 0.119726 0.332351 0.080942 
0.115069 0.180726 0.129731 0.225976 0.112782 0.235716 
0.0225947 0.010867 0.0560248 0.654591 0.0901404 0.165783 
0.0810266 0.0155941 0.379029 0.0838296 0.307493 0.133028 
0.226587 0.207298 0.00126713 0.324153 0.237233 0.00346136 
0.111642 0.0647651 0.212359 0.130165 0.32071 0.16036 
0.0656744 0.0157599 0.100137 0.401898 0.0874818 0.329049 
